iteration,model,mean_loss,std_loss
327,util,5.8318165306639014e-15,5.356260672056613e-15
328,util,5.7181805733404055e-15,4.966971205288318e-15
329,util,5.346625938401608e-15,5.0958960727791504e-15
330,util,5.563928950962579e-15,5.680106954621745e-15
331,util,5.625315055151881e-15,5.2070979923799114e-15
332,util,5.600473810219604e-15,5.438904995840716e-15
333,util,5.365846668381887e-15,4.737283966091291e-15
334,util,5.153955974572273e-15,4.735189782852012e-15
335,util,5.318477162808538e-15,5.283748156674598e-15
336,util,5.1553668726624006e-15,5.239851354319502e-15
337,util,4.835853951271466e-15,4.454285870880949e-15
338,util,4.933484188733119e-15,4.73827183382679e-15
339,util,5.096779469944359e-15,4.834225522574216e-15
340,util,4.83539135621317e-15,4.7078609896602484e-15
341,util,5.066549041869666e-15,4.8831226998418475e-15
342,util,4.527859581847549e-15,4.650206522399607e-15
343,util,4.413437207789813e-15,4.262635291363711e-15
344,util,4.456342701773335e-15,4.141373192650077e-15
345,util,4.403028870660401e-15,4.432096091556814e-15
346,util,4.362528863699174e-15,4.121783610765209e-15
347,util,4.685765666172766e-15,4.836220432271585e-15
348,util,4.363800996914502e-15,4.69094243584273e-15
349,util,4.3874857484128424e-15,4.334336106535439e-15
350,util,4.183829223723442e-15,4.1943871793202784e-15
351,util,4.5551525807558836e-15,4.917051964692997e-15
352,util,3.938377424079863e-15,4.368223287677006e-15
353,util,3.808782005332464e-15,4.425878045113526e-15
354,util,3.949433375893152e-15,4.556121721147105e-15
355,util,3.973719514716673e-15,3.834561593895966e-15
356,util,3.910228638182191e-15,4.191562370860215e-15
357,util,3.881594123980951e-15,3.8494373835930344e-15
358,util,3.4411825363620172e-15,3.4243724797552275e-15
359,util,3.927367679175297e-15,4.205268713684641e-15
360,util,3.661908735755758e-15,3.9966182027316685e-15
361,util,3.7790604085772935e-15,3.8076050090839965e-15
362,util,3.892696344063221e-15,3.9243742659391124e-15
363,util,3.7990906878794755e-15,4.17116650261526e-15
364,util,3.4551759620942034e-15,3.5315745350221483e-15
365,util,3.546584315675175e-15,3.748115941936096e-15
366,util,3.6503901878543335e-15,4.082038152817865e-15
367,util,3.606675139728513e-15,3.849536294824694e-15
368,util,3.4947045214521574e-15,3.7109388269968205e-15
369,util,3.456008649390783e-15,3.6425984318008566e-15
370,util,3.561202252634809e-15,4.026214602447014e-15
371,util,3.643428161490976e-15,4.023899420470741e-15
372,util,3.846899655222421e-15,4.317352428409969e-15
373,util,3.343968621082283e-15,3.776242617845358e-15
374,util,2.985621016592293e-15,3.1352619910383268e-15
375,util,3.554448415898074e-15,3.907902981032042e-15
376,util,3.591363320862406e-15,4.063504201737845e-15
377,util,3.576745385737045e-15,3.660358530599973e-15
378,util,3.670027259382897e-15,3.9293099944719846e-15
379,util,3.352410955894648e-15,3.586014096534724e-15
380,util,3.505853010543735e-15,3.850436304035821e-15
381,util,3.379750178863296e-15,3.766482469446873e-15
382,util,3.4856145910182926e-15,4.0048720460357124e-15
383,util,3.5267853526419184e-15,3.670653758714651e-15
384,util,3.860430501931208e-15,4.35575686138388e-15
385,util,3.734489576485482e-15,4.0207577316289085e-15
386,util,3.685593501349256e-15,3.7974203218689574e-15
387,util,3.7104347550930735e-15,4.237740418691351e-15
388,util,3.1302044458619385e-15,3.6289604608358285e-15
389,util,3.656265106552623e-15,4.156523177331824e-15
390,util,3.5054598188008774e-15,4.1802478256875716e-15
391,util,3.443171690831616e-15,3.957930493063976e-15
392,util,3.2477030411833455e-15,3.389011843132829e-15
393,util,3.2867690113808018e-15,3.6535999093423575e-15
394,util,3.0141629875429995e-15,3.116894441122088e-15
395,util,3.3889789208766452e-15,3.7403098983547314e-15
396,util,3.1472509919904422e-15,3.394483397950615e-15
397,util,3.1618458058026118e-15,3.3523131775520972e-15
398,util,3.128122767286902e-15,3.2095730939416946e-15
399,util,3.406927520902755e-15,3.8352907342950225e-15
400,util,3.3343235667925025e-15,3.5893154599386e-15
401,util,3.2498772438720914e-15,3.650976530996148e-15
402,util,3.2322524390293985e-15,3.774793452937571e-15
403,util,3.1441747410516663e-15,3.3589723821144874e-15
404,util,3.262020293732404e-15,3.58175736384509e-15
405,util,3.423950944398715e-15,4.1907377415010725e-15
406,util,3.5765603650588765e-15,4.606910757739064e-15
407,util,3.609126884771021e-15,4.810785578826115e-15
408,util,3.650320779933567e-15,4.710503187515353e-15
409,util,3.3613158743336736e-15,4.074530374704654e-15
410,util,3.0132146649483464e-15,3.799726015976543e-15
411,util,2.90524549304613e-15,3.679674182459906e-15
412,util,2.7190749691431457e-15,3.449894238507547e-15
413,util,2.965544473026752e-15,3.7245838359619255e-15
414,util,2.893842579082067e-15,3.4010954689086796e-15
415,util,2.8479764951397325e-15,3.33232552201185e-15
416,util,3.125832932641893e-15,3.4764882823881598e-15
417,util,3.3181328144651685e-15,3.841105852092084e-15
418,util,3.2817267460212585e-15,3.836845662102533e-15
419,util,2.7868217075502282e-15,3.1959753510292394e-15
420,util,3.1840039814535702e-15,3.4792961725794764e-15
421,util,3.1229879956683433e-15,3.422159660456338e-15
422,util,3.2392144587587672e-15,3.67439022198225e-15
423,util,3.0097221140126356e-15,3.4582487435315224e-15
